sample_ID,Sequencing_ID,Name,study_ID,cow_ID,Group,Treatment,Cohort,sampling,Due_date,Suggested_dry_date,Block,enrolled,collection_date,days_tx,Time_tx,GN_sample_type,GN_CFU.g,GN_Amp_CFU.g,GN_Cef_CFU.g,GN_Amp_per,GN_Cef_per,GP_sample_type,GP_CFU.g,GP_Amp_CFU.g,GP_Cef_CFU.g,GP_Amp_per,GP_Cef_per,Metagenome,DNAext_date,DNA_volume_ul,Qubit_ng.ul,Nanodrop_ng.ul,X260.280,X260.230,DNAext_date2,DNA_volume_ul2,Qubit_ng.ul2,Nanodrop_ng.ul2,X260.280_2,X260.230_2,uidA,eaeA,stx2,stx1,Campy16S,Campy200bp
MA005.7,5.7,5.7_MSU977,MA005,5031,A,Control,A Week 9,7,8/10/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,3789473.68,148663.7,0,3.92,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,117.6,124.4,1.83,1.99,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA005.8,5.8,5.8_MSU977,MA005,5031,A,Control,A Week 11,8,8/10/19,5/29/19,1,Yes,8/15/19,78,Week 11,Fresh,1815789.47,176579.93,0,9.72,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA006.1,6.1,6.1_MSU977,MA006,4927,B,Antibiotic,B Day -1,1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,127323.42,516.67,0,0.41,0,Frozen,763000,5400,42900,0.71,5.62,Yes,7/7/20,50,149,208.6,1.81,1.26,6/26/20,50,13.8,78.8,1.89,1.89,+,,,NA,NA,NA
MA006.2,6.2,6.2_MSU977,MA006,4927,B,Antibiotic,B Week 1,2,8/1/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,175347.22,50,0,0.03,0,Frozen,344000,6100,46800,1.77,13.58,Yes,7/23/20,75,79,94,1.82,1.13,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA006.3,6.3,6.3_MSU977,MA006,4927,B,Antibiotic,B Week 2,3,8/1/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,114312.27,11700,0,10.24,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA006.4,6.4,6.4_MSU977,MA006,4927,B,Antibiotic,B Week 3,4,8/1/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,27657.27,150,0,0.54,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA006.5,6.5,6.5_MSU977,MA006,4927,B,Antibiotic,B Week 5,5,8/1/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,27711.5,50,0,0.18,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,94.6,104.1,1.82,1.97,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA006.6,6.6,6.6_MSU977,MA006,4927,B,Antibiotic,B Week 7,6,8/1/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,851562.5,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA006.7,6.7,6.7_MSU977,MA006,4927,B,Antibiotic,B Week 9,7,8/1/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,1947368.42,39788.73,0,2.04,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,135.6,160.3,1.8,0.51,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA006.8,6.8,6.8_MSU977,MA006,4927,B,Antibiotic,B Week 11,8,8/1/19,5/29/19,1,Yes,8/15/19,78,Week 11,Fresh,898989.9,38380.28,0,4.27,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA007.1,7.1,7.1_MSU977,MA007,4808,B,Antibiotic,B Day -1,1,8/1/19,5/29/19,1,Yes,5/28/19,-1,Day -1,Frozen,244791.67,350,0,0.14,0,Frozen,2470000,21900,378000,0.89,15.32,Yes,7/23/20,75,108,144.7,1.79,1.55,7/7/20,50,167,261.8,1.82,1.55,+,high,,NA,NA,NA
MA007.2,7.2,7.2_MSU977,MA007,4808,B,Antibiotic,B Week 1,2,8/1/19,5/29/19,1,Yes,6/5/19,7,Week 1,Frozen,25162.69,50,0,0.2,0,Frozen,394000,17600,293000,4.47,74.46,Yes,7/23/20,75,78.4,89,1.78,1.81,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA007.3,7.3,7.3_MSU977,MA007,4808,B,Antibiotic,B Week 2,3,8/1/19,5/29/19,1,Yes,6/12/19,14,Week 2,Frozen,461805.56,45800,0,9.92,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA007.4,7.4,7.4_MSU977,MA007,4808,B,Antibiotic,B Week 3,4,8/1/19,5/29/19,1,Yes,6/19/19,21,Week 3,Frozen,101301.12,300,0,0.3,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA007.5,7.5,7.5_MSU977,MA007,4808,B,Antibiotic,B Week 5,5,8/1/19,5/29/19,1,Yes,7/3/19,35,Week 5,Frozen,187500,766.67,0,0.41,0,Frozen,NA,NA,NA,NA,NA,Yes,7/24/20,75,60.2,58.3,1.88,0.27,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA007.6,7.6,7.6_MSU977,MA007,4808,B,Antibiotic,B Week 7,6,8/1/19,5/29/19,1,Yes,7/17/19,49,Week 7,Fresh,2085937.5,108.46,0,0.01,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA007.7,7.7,7.7_MSU977,MA007,4808,B,Antibiotic,B Week 9,7,8/1/19,5/29/19,1,Yes,7/31/19,63,Week 9,Fresh,2789473.68,706140.35,0,25.31,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,110,130.9,1.81,1.83,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA007.8,7.8,7.8_MSU977,MA007,4808,B,Antibiotic,B Week 11,8,8/1/19,5/29/19,1,Yes,8/15/19,78,Week 11,Fresh,1983253.59,37743.16,25,1.9,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA008.1,8.1,8.1_MSU977,MA008,4996,B,Antibiotic,B Day -1,1,9/5/19,6/19/19,1,Yes,6/18/19,-1,Day -1,Frozen,113382.9,0,12.5,0,0.01,Frozen,823000,7400,316000,0.9,38.38,Yes,7/23/20,75,41.2,54.3,1.79,1.01,7/7/20,50,95,152,1.78,1.74,+,,,NA,NA,NA
MA008.2,8.2,8.2_MSU977,MA008,4996,B,Antibiotic,B Week 1,2,9/5/19,6/19/19,1,Yes,6/26/19,7,Week 1,Frozen,161458.33,1233.33,0,0.76,0,Frozen,823000,14200,1.00E+05,1.73,12.17,Yes,7/23/20,75,37.8,55.2,1.71,0.5,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA008.3,8.3,8.3_MSU977,MA008,4996,B,Antibiotic,B Week 2,3,9/5/19,6/19/19,1,Yes,7/3/19,14,Week 2,Frozen,105018.59,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA008.4,8.4,8.4_MSU977,MA008,4996,B,Antibiotic,B Week 3,4,9/5/19,6/19/19,1,Yes,8/7/19,49,Week 3,Fresh,32908.85,216.92,0,0.66,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA008.5,8.5,8.5_MSU977,MA008,4996,B,Antibiotic,B Week 5,5,9/5/19,6/19/19,1,Yes,7/24/19,35,Week 5,Fresh,960526.32,3741.87,0,0.39,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,68.8,80.6,1.79,0.56,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA008.6,8.6,8.6_MSU977,MA008,4996,B,Antibiotic,B Week 7,6,9/5/19,6/19/19,1,Yes,7/24/19,35,Week 7,Frozen,19522.78,0,0,0,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA008.7,8.7,8.7_MSU977,MA008,4996,B,Antibiotic,B Week 9,7,9/5/19,6/19/19,1,Yes,8/21/19,63,Week 9,Fresh,309602.65,108.46,50,0.04,0.02,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,120,161,1.79,1.75,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA009.1,9.1,9.1_MSU977,MA009,4953,A,Control,A Day -1,1,9/5/19,6/26/19,2,Yes,6/18/19,-1,Day -1,Frozen,262152.78,800,475,0.31,0.18,Frozen,712000,79500,2.00E+05,11.16,28.04,Yes,7/23/20,75,45,59.4,1.76,1.27,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA009.2,9.2,9.2_MSU977,MA009,4953,A,Control,A Week 1,2,9/5/19,6/26/19,2,Yes,7/3/19,7,Week 1,Frozen,227430.56,83.33,0,0.04,0,Frozen,2410000,1900,34700,0.08,1.44,Yes,7/24/20,75,57.2,74.7,1.78,0.67,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA009.3,9.3,9.3_MSU977,MA009,4953,A,Control,A Week 2,3,9/5/19,6/26/19,2,Yes,7/10/19,14,Week 2,Frozen,460069.44,3150,12.5,0.68,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA009.4,9.4,9.4_MSU977,MA009,4953,A,Control,A Week 3,4,9/5/19,6/26/19,2,Yes,7/17/19,21,Week 3,Fresh,640625,216.92,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA009.5,9.5,9.5_MSU977,MA009,4953,A,Control,A Week 5,5,9/5/19,6/26/19,2,Yes,7/31/19,35,Week 5,Fresh,1842105.26,51760.56,325.38,2.81,0.02,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,114,123.5,1.82,0.85,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA009.6,9.6,9.6_MSU977,MA009,4953,A,Control,A Week 7,6,9/5/19,6/26/19,2,Yes,8/15/19,50,Week 7,Fresh,276490.07,31690.14,0,11.46,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA009.7,9.7,9.7_MSU977,MA009,4953,A,Control,A Week 9,7,9/5/19,6/26/19,2,Yes,8/28/19,63,Week 9,Fresh,229041.92,325.38,0,0.14,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,93.4,92,1.8,1.78,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA010.1,10.1,10.1_MSU977,MA010,5118,B,Antibiotic,B Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,152416.36,166.67,0,0.11,0,Frozen,581000,23100,230000,3.98,39.68,Yes,7/23/20,75,65.6,85.4,1.77,1.35,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA010.2,10.2,10.2_MSU977,MA010,5118,B,Antibiotic,B Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,99109.13,366.67,0,0.37,0,Frozen,329000,5280,55600,1.6,16.89,Yes,7/24/20,75,112,121,1.83,1.37,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA010.3,10.3,10.3_MSU977,MA010,5118,B,Antibiotic,B Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,531250,8785.25,2114.97,1.65,0.4,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA010.4,10.4,10.4_MSU977,MA010,5118,B,Antibiotic,B Week 3,4,9/5/19,7/3/19,2,Yes,7/24/19,21,Week 3,Fresh,5394736.84,5151.84,0,0.1,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA010.5,10.5,10.5_MSU977,MA010,5118,B,Antibiotic,B Week 5,5,9/5/19,7/3/19,2,Yes,8/7/19,35,Week 5,Fresh,142964.07,0,0,0,0,Frozen,NA,NA,NA,NA,NA,Yes,7/25/20,75,93.8,100.7,1.83,2.12,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA010.6,10.6,10.6_MSU977,MA010,5118,B,Antibiotic,B Week 7,6,9/5/19,7/3/19,2,Yes,8/21/19,49,Week 7,Fresh,26098.9,0,25,0,0.1,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA010.7,10.7,10.7_MSU977,MA010,5118,B,Antibiotic,B Week 9,7,9/5/19,7/3/19,2,Yes,9/4/19,63,Week 9,Fresh,1207070.71,14642.08,50,1.21,0,Frozen,NA,NA,NA,NA,NA,Yes,7/26/20,75,116,130.6,1.78,1.1,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA011.1,11.1,11.1_MSU977,MA011,4993,B,Antibiotic,B Day -1,1,9/5/19,7/3/19,2,Yes,7/2/19,-1,Day -1,Frozen,561403.51,16.67,0,0,0,Frozen,1400000,16700,712000,1.19,50.7,Yes,7/23/20,75,75.2,97.3,1.76,1.52,,NA,NA,NA,NA,NA,+,,f,NA,NA,NA
MA011.2,11.2,11.2_MSU977,MA011,4993,B,Antibiotic,B Week 1,2,9/5/19,7/3/19,2,Yes,7/10/19,7,Week 1,Frozen,201672.86,35600,0,17.65,0,Frozen,131000,15400,71800,11.71,54.79,Yes,7/24/20,75,47,59.6,1.8,1.46,,NA,NA,NA,NA,NA,+,,,NA,NA,NA
MA011.3,11.3,11.3_MSU977,MA011,4993,B,Antibiotic,B Week 2,3,9/5/19,7/3/19,2,Yes,7/17/19,14,Week 2,Fresh,2164062.5,704.99,0,0.03,0,Frozen,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
