"Label","id","Abundance","Type","Class","Gene"
"cpxR",36,2661.59,"ARG","MDR","cpxR"
"crp",37,685,"ARG","MDR","crp"
"emrA",38,750.48,"ARG","MDR","emrA"
"emrB",39,0,"ARG","MDR","emrB"
"emrE",40,0,"ARG","MDR","emrE"
"emrK",41,2080.62,"ARG","Tetracycline","emrK"
"emrR",42,1941.4,"ARG","MDR","emrR"
"emrY",43,528.6,"ARG","MDR","emrY"
"ermC",44,0,"ARG","Macrolide","ermC"
"ermG",45,2287.42,"ARG","Macrolide","ermG"
"ermQ",46,0,"ARG","Macrolide","ermQ"
"evgA",47,0,"ARG","MDR","evgA"
"evgS",48,0,"ARG","MDR","evgS"
"gadX",49,0,"ARG","MDR","gadX"
"H NS",50,0,"ARG","MDR","H NS"
"l 2009 Branch",51,0,"ARG","Macrolide","l 2009 Branch"
"lnuC",52,212739.24,"ARG","Macrolide","lnuC"
"m 2021 Branch",53,2962.26,"ARG","Macrolide","m 2021 Branch"
"marA",54,2583.22,"ARG","MDR","marA"
"mdfA",55,570.62,"ARG","MDR","mdfA"
"mdtA",56,0,"ARG","MDR","mdtA"
"mdtB",57,0,"ARG","MDR","mdtB"
"mdtC",58,0,"ARG","MDR","mdtC"
"mdtD",59,584.09,"ARG","MDR","mdtD"
"mdtE",60,1442.25,"ARG","MDR","mdtE"
"mdtF",61,0,"ARG","MDR","mdtF"
"mdtG",62,0,"ARG","MDR","mdtG"
"mdtH",63,0,"ARG","MDR","mdtH"
"mdtK",64,0,"ARG","MDR","mdtK"
"mdtL",65,0,"ARG","MDR","mdtL"
"mdtM",66,0,"ARG","MDR","mdtM"
"mdtN",67,993.41,"ARG","MDR","mdtN"
"mdtO",68,0,"ARG","MDR","mdtO"
"mdtP",69,782.23,"ARG","MDR","mdtP"
"mefA",70,165729.85,"ARG","Macrolide","mefA"
"mel",71,0,"ARG","Macrolide","mel"
"msrD",72,1113.88,"ARG","Macrolide","msrD"
"nimJ",73,0,"ARG","Nitroimidazole","nimJ"
"pbp2",74,1225.23,"ARG","Beta-lactam","pbp2"
"pbp4",75,0,"ARG","Beta-lactam","pbp4"
"phoP",76,0,"ARG","MDR","phoP"
"phoQ",77,0,"ARG","MDR","phoQ"
"pmrA",78,1145.5,"ARG","Polymyxin","pmrA"
"pmrB",79,0,"ARG","Polymyxin","pmrB"
"pmrC",80,2783.07,"ARG","Polymyxin","pmrC"
"pmrE",81,423.82,"ARG","Polymyxin","pmrE"
"pmrF",82,0,"ARG","Polymyxin","pmrF"
"sat 2182 Branch",83,0,"ARG","Aminoglycoside","sat 2182 Branch"
"tet 2027 Branch",84,0,"ARG","Tetracycline","tet 2027 Branch"
"tet 2105 Branch",85,0,"ARG","Tetracycline","tet 2105 Branch"
"tet 32",86,84016.16,"ARG","Tetracycline","tet 32"
"tet32",87,55276.17,"ARG","Tetracycline","tet32"
"tet40",88,183790.39,"ARG","Tetracycline","tet40"
"tet44",89,35941.29,"ARG","Tetracycline","tet44"
"tetAP",90,1450.04,"ARG","Tetracycline","tetAP"
"tetBP",91,537.59,"ARG","Tetracycline","tetBP"
"tetD",92,0,"ARG","Tetracycline","tetD"
"tetL",93,1578.32,"ARG","Tetracycline","tetL"
"tetO",94,188871.87,"ARG","Tetracycline","tetO"
"tetQ",95,174757.05,"ARG","Tetracycline","tetQ"
"tetW",96,640234.87,"ARG","Tetracycline","tetW"
"tetX",97,11173.05,"ARG","Tetracycline","tetX"
"tolC",98,0,"ARG","MDR","tolC"
"cfxA 33413459",99,189363.4,"ARG","Beta-lactam","cfxA 33413459"
"tetL-Ef",100,5254.03,"ARG","Tetracycline","tetL-Ef"
"aadE",101,0,"ARG","Aminoglycoside","aadE"
"blc",102,7629.12,"ARG","Beta-lactam","blc"
"cmy-13",103,2039.39,"ARG","Beta-lactam","cmy-13"
"sugE",104,7731.33,"ARG","MDR","sugE"
"blc 3334641",105,5888.89,"ARG","Beta-lactam","blc 3334641"
"cfxA 32395282",106,87088.19,"ARG","Beta-lactam","cfxA 32395282"
"tetA",107,0,"ARG","Tetracycline","tetA"
"88 Branch",108,0,"Virulence","Unknown","88 Branch"
"int",109,7845.72,"MGE","Plasmid","int"
"rteC",110,1133.94,"Virulence","Two-component system response regulator","rteC"
"traE",111,0,"MGE","Plasmid","traE"
"traF",112,0,"MGE","Plasmid","traF"
"transposon 46242809",113,1913.35,"MGE","Transposon","transposon 46242809"
"transposon 46242811",114,3059.63,"MGE","Transposon","transposon 46242811"
"colA",115,0,"Virulence","Collagenase","colA"
"pfoA",116,0,"Virulence","Citolysis","pfoA"
"repB",117,2917.13,"MGE","Plasmid","repB"
"Transposon 807609",118,0,"MGE","Transposon","Transposon 807609"
"astA",119,0,"Virulence","N-succinyltransferase","astA"
"lacY",120,1820.22,"Virulence","Beta-galactosides","lacY"
"lpfA",121,0,"Virulence","Fimbrial major protein","lpfA"
"ompA",122,0,"Virulence","Peptidoglycan","ompA"
"traA",123,0,"MGE","Plasmid","traA"
"yddA",124,0,"Virulence","Inner membrane ABC transporter","yddA"
"Plasmid 38606113",125,460.16,"MGE","Plasmid","Plasmid 38606113"
"exc1",126,0,"MGE","Plasmid","exc1"
"Rom",127,0,"MGE","Plasmid","Rom"
"Plasmid 4775492",128,0,"MGE","Plasmid","Plasmid 4775492"
"tnp",129,0,"MGE","Transposon","tnp"
"MobA 32395281",130,51172.07,"MGE","Insertional sequence","MobA 32395281"
"fyuA",131,0,"Virulence","Biofilm","fyuA"
"ybtP",132,0,"Virulence","Siderophore","ybtP"
"Cronobacter phage vB_CsaP_GAP52",133,0,"Phage","Podoviridae","Cronobacter phage vB_CsaP_GAP52"
"Karamvirus_u_s",134,0,"Phage","Myoviridae","Karamvirus_u_s"
"Escherichia virus CC31",135,0,"Phage","Myoviridae","Escherichia virus CC31"
"Enterobacteria phage BP-4795",136,10.04,"Phage","Siphoviridae","Enterobacteria phage BP-4795"
"Escherichia virus HK106",137,0,"Phage","Siphoviridae","Escherichia virus HK106"
"Enterobacteria phage HK140",138,10.41,"Phage","Siphoviridae","Enterobacteria phage HK140"
"Escherichia virus HK544",139,0,"Phage","Siphoviridae","Escherichia virus HK544"
"Escherichia virus HK629",140,0,"Phage","Siphoviridae","Escherichia virus HK629"
"Escherichia virus HK633",141,8.18,"Phage","Siphoviridae","Escherichia virus HK633"
"Enterobacteria phage IME10",142,22.91,"Phage","Podoviridae","Enterobacteria phage IME10"
"Escherichia virus If1",143,26.4,"Phage","Inoviridae","Escherichia virus If1"
"Enterobacteria phage P4",144,402.51,"Phage","Caudovirales_u_f","Enterobacteria phage P4"
"Enterobacteria phage Sf101",145,110.06,"Phage","Podoviridae","Enterobacteria phage Sf101"
"Enterobacteria phage SfI",146,27.21,"Phage","Myoviridae","Enterobacteria phage SfI"
"Enterobacteria phage SfV",147,48.32,"Phage","Myoviridae","Enterobacteria phage SfV"
"Enterobacteria phage VT2phi_272",148,0,"Phage","Podoviridae","Enterobacteria phage VT2phi_272"
"Enterobacteria phage YYZ-2008",149,3.56,"Phage","Siphoviridae","Enterobacteria phage YYZ-2008"
"Enterobacteria phage cdtI",150,32.31,"Phage","Siphoviridae","Enterobacteria phage cdtI"
"Escherichia virus fiAA91ss",151,42.49,"Phage","Myoviridae","Escherichia virus fiAA91ss"
"Enterobacteria phage mEp043 c-1",152,0,"Phage","Siphoviridae","Enterobacteria phage mEp043 c-1"
"Enterobacteria phage mEp235",153,0,"Phage","Siphoviridae","Enterobacteria phage mEp235"
"Enterobacteria phage mEp237",154,0,"Phage","Siphoviridae","Enterobacteria phage mEp237"
"Enterobacteria phage mEp460",155,39.9,"Phage","Siphoviridae","Enterobacteria phage mEp460"
"Escherichia virus mEpX1",156,11.32,"Phage","Siphoviridae","Escherichia virus mEpX1"
"Escherichia virus mEpX2",157,0,"Phage","Siphoviridae","Escherichia virus mEpX2"
"Enterobacteria phage vB_EcoP_ACG-C91",158,0,"Phage","Autographiviridae","Enterobacteria phage vB_EcoP_ACG-C91"
"Enterobacterial phage mEp213",159,0,"Phage","Siphoviridae","Enterobacterial phage mEp213"
"Vequintavirus_u_s",160,0,"Phage","Myoviridae","Vequintavirus_u_s"
"Escherichia virus Cajan",161,0,"Phage","Siphoviridae","Escherichia virus Cajan"
"Escherichia phage D108",162,25.83,"Phage","Myoviridae","Escherichia phage D108"
"Escherichia virus FFH2",163,0,"Phage","Myoviridae","Escherichia virus FFH2"
"Escherichia virus Min27",164,0,"Phage","Podoviridae","Escherichia virus Min27"
"Escherichia virus Seurat",165,0,"Phage","Siphoviridae","Escherichia virus Seurat"
"Escherichia phage TL-2011b",166,89.21,"Phage","Podoviridae","Escherichia phage TL-2011b"
"Escherichia virus phiV10",167,28.07,"Phage","Podoviridae","Escherichia virus phiV10"
"Escherichia virus pro147",168,2.55,"Phage","Myoviridae","Escherichia virus pro147"
"Escherichia virus pro483",169,226.5,"Phage","Myoviridae","Escherichia virus pro483"
"Escherichia phage slur01",170,0,"Phage","Siphoviridae","Escherichia phage slur01"
"Escherichia virus 24B",171,0,"Phage","Podoviridae","Escherichia virus 24B"
"Escherichia virus 186",172,0,"Phage","Myoviridae","Escherichia virus 186"
"Escherichia virus HK022",173,0,"Phage","Siphoviridae","Escherichia virus HK022"
"Escherichia virus HK97",174,16.57,"Phage","Siphoviridae","Escherichia virus HK97"
"Escherichia virus K1-5",175,0,"Phage","Autographiviridae","Escherichia virus K1-5"
"Escherichia virus K1E",176,0,"Phage","Autographiviridae","Escherichia virus K1E"
"Escherichia virus P2",177,82.03,"Phage","Myoviridae","Escherichia virus P2"
"Escherichia virus Wphi",178,4.26,"Phage","Myoviridae","Escherichia virus Wphi"
"Lactobacillus phage LfeSau",179,0,"Phage","Siphoviridae","Lactobacillus phage LfeSau"
"Lactobacillus phage Lrm1",180,0,"Phage","Siphoviridae","Lactobacillus phage Lrm1"
"Lactobacillus phage iA2",181,0,"Phage","Siphoviridae","Lactobacillus phage iA2"
"Lactobacillus phage phiAT3",182,25.36,"Phage","Siphoviridae","Lactobacillus phage phiAT3"
"Lactococcus phage Tuc2009",183,0,"Phage","Siphoviridae","Lactococcus phage Tuc2009"
"Mycobacterium phage Enkosi",184,0,"Phage","Siphoviridae","Mycobacterium phage Enkosi"
"Seunavirus_u_s",185,12.25,"Phage","Myoviridae","Seunavirus_u_s"
"Salmonella phage BP12B",186,0,"Phage","Autographiviridae","Salmonella phage BP12B"
"Salmonella virus FSLSP004",187,4.55,"Phage","Myoviridae","Salmonella virus FSLSP004"
"Salmonella virus SP31",188,0,"Phage","Siphoviridae","Salmonella virus SP31"
"Salmonella phage RE-2010",189,29.74,"Phage","Myoviridae","Salmonella phage RE-2010"
"Salmonella phage SEN1",190,0,"Phage","Myoviridae","Salmonella phage SEN1"
"Salmonella virus SJ46",191,43.15,"Phage","Myoviridae","Salmonella virus SJ46"
"Salmonella virus SPN3US",192,0,"Phage","Myoviridae","Salmonella virus SPN3US"
"Salmonella phage g341c",193,0,"Phage","Podoviridae","Salmonella phage g341c"
"Salmonella phage vB_SemP_Emek",194,3.08,"Phage","Podoviridae","Salmonella phage vB_SemP_Emek"
"Salmonella virus HK620",195,0,"Phage","Podoviridae","Salmonella virus HK620"
"Salmonella virus PsP3",196,0,"Phage","Myoviridae","Salmonella virus PsP3"
"Shigella phage SfII",197,113.1,"Phage","Myoviridae","Shigella phage SfII"
"Shigella phage SfIV",198,185.63,"Phage","Myoviridae","Shigella phage SfIV"
"Shigella virus SfMu",199,16.25,"Phage","Myoviridae","Shigella virus SfMu"
"Shigella virus Sf6",200,7.88,"Phage","Podoviridae","Shigella virus Sf6"
"Streptococcus phage 20617",201,0,"Phage","Siphoviridae","Streptococcus phage 20617"
"Stx2-converting phage 1717",202,29.15,"Phage","Siphoviridae","Stx2-converting phage 1717"
"Stx2-converting phage 86",203,13.45,"Phage","Podoviridae","Stx2-converting phage 86"
"Punavirus_u_s",204,0,"Phage","Myoviridae","Punavirus_u_s"
"Candidatus Phytoplasma",205,8.71,"Taxa","Acholeplasmataceae","Candidatus Phytoplasma"
"Succiniclasticum",206,2.14,"Taxa","Acidaminococcaceae","Succiniclasticum"
"Acidithiobacillus",207,0,"Taxa","Acidithiobacillaceae","Acidithiobacillus"
"Actinobacteria_u_g",208,0,"Taxa","Actinobacteria_u_f","Actinobacteria_u_g"
"Thermobispora",209,96.17,"Taxa","Actinobacteria_u_f","Thermobispora"
"Taylorella",210,0,"Taxa","Alcaligenaceae","Taylorella"
"Alphaproteobacteria_u_g",211,74.96,"Taxa","Alphaproteobacteria_u_f","Alphaproteobacteria_u_g"
"Anaeromyxobacter",212,4.83,"Taxa","Anaeromyxobacteraceae","Anaeromyxobacter"
"Atopobium",213,34.41,"Taxa","Atopobiaceae","Atopobium"
"Olsenella",214,554.6,"Taxa","Atopobiaceae","Olsenella"
"Bacillus",215,1185.16,"Taxa","Bacillaceae","Bacillus"
"Geobacillus",216,11.78,"Taxa","Bacillaceae","Geobacillus"
"Gemella",217,0,"Taxa","Bacillales_u_f","Gemella"
"Bacteroidales_u_g",218,35280.29,"Taxa","Bacteroidales_u_f","Bacteroidales_u_g"
"Brachyspira",219,1.05,"Taxa","Brachyspiraceae","Brachyspira"
"Ochrobactrum",220,27.77,"Taxa","Brucellaceae","Ochrobactrum"
"Campylobacter",221,0,"Taxa","Campylobacteraceae","Campylobacter"
"Candidatus Paracaedibacteraceae_u_g",222,0,"Taxa","Candidatus Paracaedibacteraceae","Candidatus Paracaedibacteraceae_u_g"
"Cardiobacterium",223,1.54,"Taxa","Cardiobacteriaceae","Cardiobacterium"
"Catabacter",224,4473.96,"Taxa","Catabacteriaceae","Catabacter"
"Alkaliphilus",225,14.09,"Taxa","Clostridiaceae","Alkaliphilus"
"Butyricicoccus",226,256.47,"Taxa","Clostridiaceae","Butyricicoccus"
"Caloramator",227,22.43,"Taxa","Clostridiaceae","Caloramator"
"Clostridiales Family XIII. Incertae Sedis_u_g",228,8658.7,"Taxa","Clostridiales Family XIII. Incertae Sedis","Clostridiales Family XIII. Incertae Sedis_u_g"
"Mogibacterium",229,33.75,"Taxa","Clostridiales Family XIII. Incertae Sedis","Mogibacterium"
"Thermaerobacter",230,0,"Taxa","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter"
"Collinsella",231,304.83,"Taxa","Coriobacteriaceae","Collinsella"
"Corynebacterium",232,1382.75,"Taxa","Corynebacteriaceae","Corynebacterium"
"Cytophaga",233,1.61,"Taxa","Cytophagaceae","Cytophaga"
"Runella",234,0,"Taxa","Cytophagaceae","Runella"
"Deinococcus-Thermus_u_g",235,0,"Taxa","Deinococcus-Thermus_u_f","Deinococcus-Thermus_u_g"
"Desulfobulbus",236,0,"Taxa","Desulfobulbaceae","Desulfobulbus"
"Desulfomicrobium",237,10.39,"Taxa","Desulfomicrobiaceae","Desulfomicrobium"
"Hippea",238,1.28,"Taxa","Desulfurellaceae","Hippea"
"Slackia",239,89.68,"Taxa","Eggerthellaceae","Slackia"
"Escherichia",240,507.57,"Taxa","Enterobacteriaceae","Escherichia"
"Leclercia",241,0,"Taxa","Enterobacteriaceae","Leclercia"
"Salmonella",242,0,"Taxa","Enterobacteriaceae","Salmonella"
"Shigella",243,52.09,"Taxa","Enterobacteriaceae","Shigella"
"Erysipelotrichaceae_u_g",244,4799.51,"Taxa","Erysipelotrichaceae","Erysipelotrichaceae_u_g"
"Kandleria",245,2.39,"Taxa","Erysipelotrichaceae","Kandleria"
"Turicibacter",246,304.44,"Taxa","Erysipelotrichaceae","Turicibacter"
"Ferrimonas",247,0,"Taxa","Ferrimonadaceae","Ferrimonas"
"Firmicutes_u_g",248,964.76,"Taxa","Firmicutes_u_f","Firmicutes_u_g"
"Imtechella",249,17.73,"Taxa","Flavobacteriaceae","Imtechella"
"Flavobacteriales_u_g",250,0,"Taxa","Flavobacteriales_u_f","Flavobacteriales_u_g"
"Cetobacterium",251,1.13,"Taxa","Fusobacteriaceae","Cetobacterium"
"Glycomyces",252,12.67,"Taxa","Glycomycetaceae","Glycomyces"
"Gordonia",253,48.97,"Taxa","Gordoniaceae","Gordonia"
"Halorubrum",254,2.92,"Taxa","Halorubraceae","Halorubrum"
"Holophagaceae_u_g",255,1.11,"Taxa","Holophagaceae","Holophagaceae_u_g"
"Holospora",256,56.98,"Taxa","Holosporaceae","Holospora"
"Hungateiclostridiaceae_u_g",257,0,"Taxa","Hungateiclostridiaceae","Hungateiclostridiaceae_u_g"
"Coprococcus",258,24.71,"Taxa","Lachnospiraceae","Coprococcus"
"Dorea",259,0,"Taxa","Lachnospiraceae","Dorea"
"Lachnobacterium",260,11.81,"Taxa","Lachnospiraceae","Lachnobacterium"
"Lachnoclostridium",261,1043.18,"Taxa","Lachnospiraceae","Lachnoclostridium"
"Lachnospira",262,763.67,"Taxa","Lachnospiraceae","Lachnospira"
"Pseudobutyrivibrio",263,671.45,"Taxa","Lachnospiraceae","Pseudobutyrivibrio"
"Roseburia",264,61.27,"Taxa","Lachnospiraceae","Roseburia"
"Shuttleworthia",265,5.81,"Taxa","Lachnospiraceae","Shuttleworthia"
"Tyzzerella",266,18.48,"Taxa","Lachnospiraceae","Tyzzerella"
"Methanosarcina",267,6.84,"Taxa","Methanosarcinaceae","Methanosarcina"
"Methylobacterium",268,1.51,"Taxa","Methylobacteriaceae","Methylobacterium"
"Microvirga",269,0,"Taxa","Methylobacteriaceae","Microvirga"
"Clavibacter",270,0,"Taxa","Microbacteriaceae","Clavibacter"
"Microbacterium",271,35.91,"Taxa","Microbacteriaceae","Microbacterium"
"Kocuria",272,256.64,"Taxa","Micrococcaceae","Kocuria"
"Micrococcaceae_u_g",273,7.15,"Taxa","Micrococcaceae","Micrococcaceae_u_g"
"Micromonospora",274,15.71,"Taxa","Micromonosporaceae","Micromonospora"
"Ureaplasma",275,7.48,"Taxa","Mycoplasmataceae","Ureaplasma"
"Myxococcaceae_u_g",276,0,"Taxa","Myxococcaceae","Myxococcaceae_u_g"
"Nitrospiraceae_u_g",277,0,"Taxa","Nitrospiraceae","Nitrospiraceae_u_g"
"Thermobifida",278,734.88,"Taxa","Nocardiopsaceae","Thermobifida"
"Opitutales_u_g",279,8.29,"Taxa","Opitutales_u_f","Opitutales_u_g"
"Saccharibacillus",280,0,"Taxa","Paenibacillaceae","Saccharibacillus"
"Gallibacterium",281,0,"Taxa","Pasteurellaceae","Gallibacterium"
"Desulfotomaculum",282,0,"Taxa","Peptococcaceae","Desulfotomaculum"
"Peptococcaceae_u_g",283,0,"Taxa","Peptococcaceae","Peptococcaceae_u_g"
"Anaerococcus",284,2.99,"Taxa","Peptoniphilaceae","Anaerococcus"
"Helcococcus",285,22.67,"Taxa","Peptoniphilaceae","Helcococcus"
"Parvimonas",286,9.94,"Taxa","Peptoniphilaceae","Parvimonas"
"Intestinibacter",287,0,"Taxa","Peptostreptococcaceae","Intestinibacter"
"Paeniclostridium",288,23.93,"Taxa","Peptostreptococcaceae","Paeniclostridium"
"Peptostreptococcaceae_u_g",289,203.91,"Taxa","Peptostreptococcaceae","Peptostreptococcaceae_u_g"
"Peptostreptococcus",290,8.73,"Taxa","Peptostreptococcaceae","Peptostreptococcus"
"Aminobacter",291,0,"Taxa","Phyllobacteriaceae","Aminobacter"
"Phyllobacteriaceae_u_g",292,6.07,"Taxa","Phyllobacteriaceae","Phyllobacteriaceae_u_g"
"Ureibacillus",293,34.64,"Taxa","Planococcaceae","Ureibacillus"
"Porphyromonas",294,289.63,"Taxa","Porphyromonadaceae","Porphyromonas"
"Acidipropionibacterium",295,0,"Taxa","Propionibacteriaceae","Acidipropionibacterium"
"Cutibacterium",296,0,"Taxa","Propionibacteriaceae","Cutibacterium"
"Propionibacteriaceae_u_g",297,0,"Taxa","Propionibacteriaceae","Propionibacteriaceae_u_g"
"Pseudonocardia",298,0,"Taxa","Pseudonocardiaceae","Pseudonocardia"
"Saccharomonospora",299,439.05,"Taxa","Pseudonocardiaceae","Saccharomonospora"
"Saccharopolyspora",300,64.11,"Taxa","Pseudonocardiaceae","Saccharopolyspora"
"Halocynthiibacter",301,3.82,"Taxa","Rhodobacteraceae","Halocynthiibacter"
"Thalassospira",302,2.39,"Taxa","Rhodospirillaceae","Thalassospira"
"Rickettsiales_u_g",303,0,"Taxa","Rickettsiales_u_f","Rickettsiales_u_g"
"Rikenellaceae_u_g",304,4.15,"Taxa","Rikenellaceae","Rikenellaceae_u_g"
"Anaerotruncus",305,0,"Taxa","Ruminococcaceae","Anaerotruncus"
"Ethanoligenens",306,0,"Taxa","Ruminococcaceae","Ethanoligenens"
"Megamonas",307,14.83,"Taxa","Selenomonadaceae","Megamonas"
"Selenomonadaceae_u_g",308,0,"Taxa","Selenomonadaceae","Selenomonadaceae_u_g"
"Shewanella",309,0,"Taxa","Shewanellaceae","Shewanella"
"Sphaerobacteraceae_u_g",310,0,"Taxa","Sphaerobacteraceae","Sphaerobacteraceae_u_g"
"Sphingobacteriaceae_u_g",311,0,"Taxa","Sphingobacteriaceae","Sphingobacteriaceae_u_g"
"Treponema",312,134.94,"Taxa","Spirochaetaceae","Treponema"
"Sporolactobacillus",313,1.71,"Taxa","Sporolactobacillaceae","Sporolactobacillus"
"Pelosinus",314,108.03,"Taxa","Sporomusaceae","Pelosinus"
"Staphylococcus",315,0,"Taxa","Staphylococcaceae","Staphylococcus"
"Succinatimonas",316,13.72,"Taxa","Succinivibrionaceae","Succinatimonas"
"Succinivibrio",317,144.91,"Taxa","Succinivibrionaceae","Succinivibrio"
"Laceyella",318,0,"Taxa","Thermoactinomycetaceae","Laceyella"
"Thermoactinomyces",319,3551.03,"Taxa","Thermoactinomycetaceae","Thermoactinomyces"
"Thermoanaerobacterales_u_g",320,44.34,"Taxa","Thermoanaerobacterales_u_f","Thermoanaerobacterales_u_g"
"Megasphaera",321,17.85,"Taxa","Veillonellaceae","Megasphaera"
"Veillonellaceae_u_g",322,6.54,"Taxa","Veillonellaceae","Veillonellaceae_u_g"
"Pseudoxanthomonas",323,7.8,"Taxa","Xanthomonadaceae","Pseudoxanthomonas"
"Xylella",324,0,"Taxa","Xanthomonadaceae","Xylella"
"Yersinia",325,0,"Taxa","Yersiniaceae","Yersinia"
