"Label","id","Abundance","Type","Class","Gene"
"cpxR",36,0,"ARG","MDR","cpxR"
"crp",37,1812.16,"ARG","MDR","crp"
"emrA",38,423.6,"ARG","MDR","emrA"
"emrB",39,0,"ARG","MDR","emrB"
"emrE",40,0,"ARG","MDR","emrE"
"emrK",41,986.91,"ARG","Tetracycline","emrK"
"emrR",42,754.74,"ARG","MDR","emrR"
"emrY",43,0,"ARG","MDR","emrY"
"ermC",44,0,"ARG","Macrolide","ermC"
"ermG",45,2502.93,"ARG","Macrolide","ermG"
"ermQ",46,1541.74,"ARG","Macrolide","ermQ"
"evgA",47,0,"ARG","MDR","evgA"
"evgS",48,0,"ARG","MDR","evgS"
"gadX",49,0,"ARG","MDR","gadX"
"H NS",50,0,"ARG","MDR","H NS"
"l 2009 Branch",51,0,"ARG","Macrolide","l 2009 Branch"
"lnuC",52,191938.98,"ARG","Macrolide","lnuC"
"m 2021 Branch",53,1727.25,"ARG","Macrolide","m 2021 Branch"
"marA",54,1081.73,"ARG","MDR","marA"
"mdfA",55,0,"ARG","MDR","mdfA"
"mdtA",56,679.37,"ARG","MDR","mdtA"
"mdtB",57,0,"ARG","MDR","mdtB"
"mdtC",58,0,"ARG","MDR","mdtC"
"mdtD",59,0,"ARG","MDR","mdtD"
"mdtE",60,1712.73,"ARG","MDR","mdtE"
"mdtF",61,959.47,"ARG","MDR","mdtF"
"mdtG",62,2777.85,"ARG","MDR","mdtG"
"mdtH",63,0,"ARG","MDR","mdtH"
"mdtK",64,0,"ARG","MDR","mdtK"
"mdtL",65,449.9,"ARG","MDR","mdtL"
"mdtM",66,0,"ARG","MDR","mdtM"
"mdtN",67,0,"ARG","MDR","mdtN"
"mdtO",68,0,"ARG","MDR","mdtO"
"mdtP",69,1063.23,"ARG","MDR","mdtP"
"mefA",70,124940.23,"ARG","Macrolide","mefA"
"mel",71,0,"ARG","Macrolide","mel"
"msrD",72,0,"ARG","Macrolide","msrD"
"nimJ",73,0,"ARG","Nitroimidazole","nimJ"
"pbp2",74,1313.71,"ARG","Beta-lactam","pbp2"
"pbp4",75,0,"ARG","Beta-lactam","pbp4"
"phoP",76,0,"ARG","MDR","phoP"
"phoQ",77,0,"ARG","MDR","phoQ"
"pmrA",78,0,"ARG","Polymyxin","pmrA"
"pmrB",79,472.92,"ARG","Polymyxin","pmrB"
"pmrC",80,0,"ARG","Polymyxin","pmrC"
"pmrE",81,0,"ARG","Polymyxin","pmrE"
"pmrF",82,0,"ARG","Polymyxin","pmrF"
"sat 2182 Branch",83,0,"ARG","Aminoglycoside","sat 2182 Branch"
"tet 2027 Branch",84,0,"ARG","Tetracycline","tet 2027 Branch"
"tet 2105 Branch",85,0,"ARG","Tetracycline","tet 2105 Branch"
"tet 32",86,100386.18,"ARG","Tetracycline","tet 32"
"tet32",87,52369.56,"ARG","Tetracycline","tet32"
"tet40",88,179091.15,"ARG","Tetracycline","tet40"
"tet44",89,54964.08,"ARG","Tetracycline","tet44"
"tetAP",90,630.06,"ARG","Tetracycline","tetAP"
"tetBP",91,3681.22,"ARG","Tetracycline","tetBP"
"tetD",92,0,"ARG","Tetracycline","tetD"
"tetL",93,0,"ARG","Tetracycline","tetL"
"tetO",94,190122.61,"ARG","Tetracycline","tetO"
"tetQ",95,265409.87,"ARG","Tetracycline","tetQ"
"tetW",96,648401.31,"ARG","Tetracycline","tetW"
"tetX",97,14035.69,"ARG","Tetracycline","tetX"
"tolC",98,809.96,"ARG","MDR","tolC"
"cfxA 33413459",99,178079.42,"ARG","Beta-lactam","cfxA 33413459"
"tetL-Ef",100,1888.25,"ARG","Tetracycline","tetL-Ef"
"aadE",101,0,"ARG","Aminoglycoside","aadE"
"blc",102,0,"ARG","Beta-lactam","blc"
"cmy-13",103,0,"ARG","Beta-lactam","cmy-13"
"sugE",104,767.5,"ARG","MDR","sugE"
"blc 3334641",105,0,"ARG","Beta-lactam","blc 3334641"
"cfxA 32395282",106,94468.2,"ARG","Beta-lactam","cfxA 32395282"
"tetA",107,0,"ARG","Tetracycline","tetA"
"88 Branch",108,0,"Virulence","Unknown","88 Branch"
"int",109,2148.81,"MGE","Plasmid","int"
"rteC",110,3822.24,"Virulence","Two-component system response regulator","rteC"
"traE",111,0,"MGE","Plasmid","traE"
"traF",112,934.06,"MGE","Plasmid","traF"
"transposon 46242809",113,1293.23,"MGE","Transposon","transposon 46242809"
"transposon 46242811",114,0,"MGE","Transposon","transposon 46242811"
"colA",115,0,"Virulence","Collagenase","colA"
"pfoA",116,0,"Virulence","Citolysis","pfoA"
"repB",117,1947.78,"MGE","Plasmid","repB"
"Transposon 807609",118,551.01,"MGE","Transposon","Transposon 807609"
"astA",119,0,"Virulence","N-succinyltransferase","astA"
"lacY",120,0,"Virulence","Beta-galactosides","lacY"
"lpfA",121,0,"Virulence","Fimbrial major protein","lpfA"
"ompA",122,1049.12,"Virulence","Peptidoglycan","ompA"
"traA",123,1437.47,"MGE","Plasmid","traA"
"yddA",124,0,"Virulence","Inner membrane ABC transporter","yddA"
"Plasmid 38606113",125,484.02,"MGE","Plasmid","Plasmid 38606113"
"exc1",126,1259.45,"MGE","Plasmid","exc1"
"Rom",127,263.15,"MGE","Plasmid","Rom"
"Plasmid 4775492",128,0,"MGE","Plasmid","Plasmid 4775492"
"tnp",129,0,"MGE","Transposon","tnp"
"MobA 32395281",130,35732.27,"MGE","Insertional sequence","MobA 32395281"
"fyuA",131,0,"Virulence","Biofilm","fyuA"
"ybtP",132,0,"Virulence","Siderophore","ybtP"
"Cronobacter phage vB_CsaP_GAP52",133,0,"Phage","Podoviridae","Cronobacter phage vB_CsaP_GAP52"
"Karamvirus_u_s",134,0,"Phage","Myoviridae","Karamvirus_u_s"
"Escherichia virus CC31",135,0,"Phage","Myoviridae","Escherichia virus CC31"
"Enterobacteria phage BP-4795",136,66.54,"Phage","Siphoviridae","Enterobacteria phage BP-4795"
"Escherichia virus HK106",137,0,"Phage","Siphoviridae","Escherichia virus HK106"
"Enterobacteria phage HK140",138,10.01,"Phage","Siphoviridae","Enterobacteria phage HK140"
"Escherichia virus HK544",139,3.96,"Phage","Siphoviridae","Escherichia virus HK544"
"Escherichia virus HK629",140,0,"Phage","Siphoviridae","Escherichia virus HK629"
"Escherichia virus HK633",141,0,"Phage","Siphoviridae","Escherichia virus HK633"
"Enterobacteria phage IME10",142,0,"Phage","Podoviridae","Enterobacteria phage IME10"
"Escherichia virus If1",143,0,"Phage","Inoviridae","Escherichia virus If1"
"Enterobacteria phage P4",144,104.29,"Phage","Caudovirales_u_f","Enterobacteria phage P4"
"Enterobacteria phage Sf101",145,2.69,"Phage","Podoviridae","Enterobacteria phage Sf101"
"Enterobacteria phage SfI",146,11.04,"Phage","Myoviridae","Enterobacteria phage SfI"
"Enterobacteria phage SfV",147,8.63,"Phage","Myoviridae","Enterobacteria phage SfV"
"Enterobacteria phage VT2phi_272",148,0,"Phage","Podoviridae","Enterobacteria phage VT2phi_272"
"Enterobacteria phage YYZ-2008",149,39.76,"Phage","Siphoviridae","Enterobacteria phage YYZ-2008"
"Enterobacteria phage cdtI",150,66.5,"Phage","Siphoviridae","Enterobacteria phage cdtI"
"Escherichia virus fiAA91ss",151,154.04,"Phage","Myoviridae","Escherichia virus fiAA91ss"
"Enterobacteria phage mEp043 c-1",152,0,"Phage","Siphoviridae","Enterobacteria phage mEp043 c-1"
"Enterobacteria phage mEp235",153,0,"Phage","Siphoviridae","Enterobacteria phage mEp235"
"Enterobacteria phage mEp237",154,0,"Phage","Siphoviridae","Enterobacteria phage mEp237"
"Enterobacteria phage mEp460",155,32.16,"Phage","Siphoviridae","Enterobacteria phage mEp460"
"Escherichia virus mEpX1",156,0,"Phage","Siphoviridae","Escherichia virus mEpX1"
"Escherichia virus mEpX2",157,0,"Phage","Siphoviridae","Escherichia virus mEpX2"
"Enterobacteria phage vB_EcoP_ACG-C91",158,0,"Phage","Autographiviridae","Enterobacteria phage vB_EcoP_ACG-C91"
"Enterobacterial phage mEp213",159,0,"Phage","Siphoviridae","Enterobacterial phage mEp213"
"Vequintavirus_u_s",160,0,"Phage","Myoviridae","Vequintavirus_u_s"
"Escherichia virus Cajan",161,0,"Phage","Siphoviridae","Escherichia virus Cajan"
"Escherichia phage D108",162,0,"Phage","Myoviridae","Escherichia phage D108"
"Escherichia virus FFH2",163,0,"Phage","Myoviridae","Escherichia virus FFH2"
"Escherichia virus Min27",164,0,"Phage","Podoviridae","Escherichia virus Min27"
"Escherichia virus Seurat",165,0,"Phage","Siphoviridae","Escherichia virus Seurat"
"Escherichia phage TL-2011b",166,58.25,"Phage","Podoviridae","Escherichia phage TL-2011b"
"Escherichia virus phiV10",167,0,"Phage","Podoviridae","Escherichia virus phiV10"
"Escherichia virus pro147",168,4.73,"Phage","Myoviridae","Escherichia virus pro147"
"Escherichia virus pro483",169,21.03,"Phage","Myoviridae","Escherichia virus pro483"
"Escherichia phage slur01",170,0,"Phage","Siphoviridae","Escherichia phage slur01"
"Escherichia virus 24B",171,0,"Phage","Podoviridae","Escherichia virus 24B"
"Escherichia virus 186",172,0,"Phage","Myoviridae","Escherichia virus 186"
"Escherichia virus HK022",173,0,"Phage","Siphoviridae","Escherichia virus HK022"
"Escherichia virus HK97",174,0,"Phage","Siphoviridae","Escherichia virus HK97"
"Escherichia virus K1-5",175,0,"Phage","Autographiviridae","Escherichia virus K1-5"
"Escherichia virus K1E",176,0,"Phage","Autographiviridae","Escherichia virus K1E"
"Escherichia virus P2",177,147.46,"Phage","Myoviridae","Escherichia virus P2"
"Escherichia virus Wphi",178,24.95,"Phage","Myoviridae","Escherichia virus Wphi"
"Lactobacillus phage LfeSau",179,0,"Phage","Siphoviridae","Lactobacillus phage LfeSau"
"Lactobacillus phage Lrm1",180,0,"Phage","Siphoviridae","Lactobacillus phage Lrm1"
"Lactobacillus phage iA2",181,23.63,"Phage","Siphoviridae","Lactobacillus phage iA2"
"Lactobacillus phage phiAT3",182,65.86,"Phage","Siphoviridae","Lactobacillus phage phiAT3"
"Lactococcus phage Tuc2009",183,0,"Phage","Siphoviridae","Lactococcus phage Tuc2009"
"Mycobacterium phage Enkosi",184,0,"Phage","Siphoviridae","Mycobacterium phage Enkosi"
"Seunavirus_u_s",185,0,"Phage","Myoviridae","Seunavirus_u_s"
"Salmonella phage BP12B",186,0,"Phage","Autographiviridae","Salmonella phage BP12B"
"Salmonella virus FSLSP004",187,2.06,"Phage","Myoviridae","Salmonella virus FSLSP004"
"Salmonella virus SP31",188,4.13,"Phage","Siphoviridae","Salmonella virus SP31"
"Salmonella phage RE-2010",189,41.1,"Phage","Myoviridae","Salmonella phage RE-2010"
"Salmonella phage SEN1",190,0,"Phage","Myoviridae","Salmonella phage SEN1"
"Salmonella virus SJ46",191,38.68,"Phage","Myoviridae","Salmonella virus SJ46"
"Salmonella virus SPN3US",192,0,"Phage","Myoviridae","Salmonella virus SPN3US"
"Salmonella phage g341c",193,0,"Phage","Podoviridae","Salmonella phage g341c"
"Salmonella phage vB_SemP_Emek",194,8.32,"Phage","Podoviridae","Salmonella phage vB_SemP_Emek"
"Salmonella virus HK620",195,27.07,"Phage","Podoviridae","Salmonella virus HK620"
"Salmonella virus PsP3",196,0,"Phage","Myoviridae","Salmonella virus PsP3"
"Shigella phage SfII",197,0,"Phage","Myoviridae","Shigella phage SfII"
"Shigella phage SfIV",198,3.07,"Phage","Myoviridae","Shigella phage SfIV"
"Shigella virus SfMu",199,2.28,"Phage","Myoviridae","Shigella virus SfMu"
"Shigella virus Sf6",200,8.1,"Phage","Podoviridae","Shigella virus Sf6"
"Streptococcus phage 20617",201,0,"Phage","Siphoviridae","Streptococcus phage 20617"
"Stx2-converting phage 1717",202,119.74,"Phage","Siphoviridae","Stx2-converting phage 1717"
"Stx2-converting phage 86",203,0,"Phage","Podoviridae","Stx2-converting phage 86"
"Punavirus_u_s",204,16.84,"Phage","Myoviridae","Punavirus_u_s"
"Candidatus Phytoplasma",205,0,"Taxa","Acholeplasmataceae","Candidatus Phytoplasma"
"Succiniclasticum",206,0,"Taxa","Acidaminococcaceae","Succiniclasticum"
"Acidithiobacillus",207,13.96,"Taxa","Acidithiobacillaceae","Acidithiobacillus"
"Actinobacteria_u_g",208,7.37,"Taxa","Actinobacteria_u_f","Actinobacteria_u_g"
"Thermobispora",209,32.85,"Taxa","Actinobacteria_u_f","Thermobispora"
"Taylorella",210,0,"Taxa","Alcaligenaceae","Taylorella"
"Alphaproteobacteria_u_g",211,70.8,"Taxa","Alphaproteobacteria_u_f","Alphaproteobacteria_u_g"
"Anaeromyxobacter",212,5.41,"Taxa","Anaeromyxobacteraceae","Anaeromyxobacter"
"Atopobium",213,31.64,"Taxa","Atopobiaceae","Atopobium"
"Olsenella",214,393.95,"Taxa","Atopobiaceae","Olsenella"
"Bacillus",215,1544.84,"Taxa","Bacillaceae","Bacillus"
"Geobacillus",216,9.54,"Taxa","Bacillaceae","Geobacillus"
"Gemella",217,1.23,"Taxa","Bacillales_u_f","Gemella"
"Bacteroidales_u_g",218,21869.71,"Taxa","Bacteroidales_u_f","Bacteroidales_u_g"
"Brachyspira",219,1.45,"Taxa","Brachyspiraceae","Brachyspira"
"Ochrobactrum",220,5.58,"Taxa","Brucellaceae","Ochrobactrum"
"Campylobacter",221,1.64,"Taxa","Campylobacteraceae","Campylobacter"
"Candidatus Paracaedibacteraceae_u_g",222,0,"Taxa","Candidatus Paracaedibacteraceae","Candidatus Paracaedibacteraceae_u_g"
"Cardiobacterium",223,3.85,"Taxa","Cardiobacteriaceae","Cardiobacterium"
"Catabacter",224,3219.59,"Taxa","Catabacteriaceae","Catabacter"
"Alkaliphilus",225,17.55,"Taxa","Clostridiaceae","Alkaliphilus"
"Butyricicoccus",226,301.41,"Taxa","Clostridiaceae","Butyricicoccus"
"Caloramator",227,17.78,"Taxa","Clostridiaceae","Caloramator"
"Clostridiales Family XIII. Incertae Sedis_u_g",228,5234.04,"Taxa","Clostridiales Family XIII. Incertae Sedis","Clostridiales Family XIII. Incertae Sedis_u_g"
"Mogibacterium",229,42.45,"Taxa","Clostridiales Family XIII. Incertae Sedis","Mogibacterium"
"Thermaerobacter",230,6.24,"Taxa","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter"
"Collinsella",231,277.44,"Taxa","Coriobacteriaceae","Collinsella"
"Corynebacterium",232,1635.92,"Taxa","Corynebacteriaceae","Corynebacterium"
"Cytophaga",233,1.08,"Taxa","Cytophagaceae","Cytophaga"
"Runella",234,0,"Taxa","Cytophagaceae","Runella"
"Deinococcus-Thermus_u_g",235,2.83,"Taxa","Deinococcus-Thermus_u_f","Deinococcus-Thermus_u_g"
"Desulfobulbus",236,2.82,"Taxa","Desulfobulbaceae","Desulfobulbus"
"Desulfomicrobium",237,8.2,"Taxa","Desulfomicrobiaceae","Desulfomicrobium"
"Hippea",238,0,"Taxa","Desulfurellaceae","Hippea"
"Slackia",239,34.76,"Taxa","Eggerthellaceae","Slackia"
"Escherichia",240,586.25,"Taxa","Enterobacteriaceae","Escherichia"
"Leclercia",241,0,"Taxa","Enterobacteriaceae","Leclercia"
"Salmonella",242,0,"Taxa","Enterobacteriaceae","Salmonella"
"Shigella",243,59.85,"Taxa","Enterobacteriaceae","Shigella"
"Erysipelotrichaceae_u_g",244,2396.94,"Taxa","Erysipelotrichaceae","Erysipelotrichaceae_u_g"
"Kandleria",245,2.07,"Taxa","Erysipelotrichaceae","Kandleria"
"Turicibacter",246,723.3,"Taxa","Erysipelotrichaceae","Turicibacter"
"Ferrimonas",247,0,"Taxa","Ferrimonadaceae","Ferrimonas"
"Firmicutes_u_g",248,884.03,"Taxa","Firmicutes_u_f","Firmicutes_u_g"
"Imtechella",249,221.27,"Taxa","Flavobacteriaceae","Imtechella"
"Flavobacteriales_u_g",250,0,"Taxa","Flavobacteriales_u_f","Flavobacteriales_u_g"
"Cetobacterium",251,1.46,"Taxa","Fusobacteriaceae","Cetobacterium"
"Glycomyces",252,0,"Taxa","Glycomycetaceae","Glycomyces"
"Gordonia",253,29.55,"Taxa","Gordoniaceae","Gordonia"
"Halorubrum",254,0,"Taxa","Halorubraceae","Halorubrum"
"Holophagaceae_u_g",255,8.96,"Taxa","Holophagaceae","Holophagaceae_u_g"
"Holospora",256,50.22,"Taxa","Holosporaceae","Holospora"
"Hungateiclostridiaceae_u_g",257,0,"Taxa","Hungateiclostridiaceae","Hungateiclostridiaceae_u_g"
"Coprococcus",258,7.44,"Taxa","Lachnospiraceae","Coprococcus"
"Dorea",259,0,"Taxa","Lachnospiraceae","Dorea"
"Lachnobacterium",260,28.96,"Taxa","Lachnospiraceae","Lachnobacterium"
"Lachnoclostridium",261,1138.58,"Taxa","Lachnospiraceae","Lachnoclostridium"
"Lachnospira",262,1700.47,"Taxa","Lachnospiraceae","Lachnospira"
"Pseudobutyrivibrio",263,249.33,"Taxa","Lachnospiraceae","Pseudobutyrivibrio"
"Roseburia",264,27.63,"Taxa","Lachnospiraceae","Roseburia"
"Shuttleworthia",265,14.13,"Taxa","Lachnospiraceae","Shuttleworthia"
"Tyzzerella",266,38.8,"Taxa","Lachnospiraceae","Tyzzerella"
"Methanosarcina",267,14.98,"Taxa","Methanosarcinaceae","Methanosarcina"
"Methylobacterium",268,3.19,"Taxa","Methylobacteriaceae","Methylobacterium"
"Microvirga",269,6.54,"Taxa","Methylobacteriaceae","Microvirga"
"Clavibacter",270,4.64,"Taxa","Microbacteriaceae","Clavibacter"
"Microbacterium",271,49.7,"Taxa","Microbacteriaceae","Microbacterium"
"Kocuria",272,162.46,"Taxa","Micrococcaceae","Kocuria"
"Micrococcaceae_u_g",273,23.77,"Taxa","Micrococcaceae","Micrococcaceae_u_g"
"Micromonospora",274,9.42,"Taxa","Micromonosporaceae","Micromonospora"
"Ureaplasma",275,13.17,"Taxa","Mycoplasmataceae","Ureaplasma"
"Myxococcaceae_u_g",276,0,"Taxa","Myxococcaceae","Myxococcaceae_u_g"
"Nitrospiraceae_u_g",277,2.22,"Taxa","Nitrospiraceae","Nitrospiraceae_u_g"
"Thermobifida",278,1134.12,"Taxa","Nocardiopsaceae","Thermobifida"
"Opitutales_u_g",279,0,"Taxa","Opitutales_u_f","Opitutales_u_g"
"Saccharibacillus",280,2.63,"Taxa","Paenibacillaceae","Saccharibacillus"
"Gallibacterium",281,0,"Taxa","Pasteurellaceae","Gallibacterium"
"Desulfotomaculum",282,6.98,"Taxa","Peptococcaceae","Desulfotomaculum"
"Peptococcaceae_u_g",283,22.64,"Taxa","Peptococcaceae","Peptococcaceae_u_g"
"Anaerococcus",284,0,"Taxa","Peptoniphilaceae","Anaerococcus"
"Helcococcus",285,40.49,"Taxa","Peptoniphilaceae","Helcococcus"
"Parvimonas",286,28.02,"Taxa","Peptoniphilaceae","Parvimonas"
"Intestinibacter",287,8.1,"Taxa","Peptostreptococcaceae","Intestinibacter"
"Paeniclostridium",288,62.95,"Taxa","Peptostreptococcaceae","Paeniclostridium"
"Peptostreptococcaceae_u_g",289,181.46,"Taxa","Peptostreptococcaceae","Peptostreptococcaceae_u_g"
"Peptostreptococcus",290,13.86,"Taxa","Peptostreptococcaceae","Peptostreptococcus"
"Aminobacter",291,8.02,"Taxa","Phyllobacteriaceae","Aminobacter"
"Phyllobacteriaceae_u_g",292,0,"Taxa","Phyllobacteriaceae","Phyllobacteriaceae_u_g"
"Ureibacillus",293,40.31,"Taxa","Planococcaceae","Ureibacillus"
"Porphyromonas",294,344.35,"Taxa","Porphyromonadaceae","Porphyromonas"
"Acidipropionibacterium",295,18.56,"Taxa","Propionibacteriaceae","Acidipropionibacterium"
"Cutibacterium",296,0,"Taxa","Propionibacteriaceae","Cutibacterium"
"Propionibacteriaceae_u_g",297,0,"Taxa","Propionibacteriaceae","Propionibacteriaceae_u_g"
"Pseudonocardia",298,1.05,"Taxa","Pseudonocardiaceae","Pseudonocardia"
"Saccharomonospora",299,527.74,"Taxa","Pseudonocardiaceae","Saccharomonospora"
"Saccharopolyspora",300,475.7,"Taxa","Pseudonocardiaceae","Saccharopolyspora"
"Halocynthiibacter",301,3.3,"Taxa","Rhodobacteraceae","Halocynthiibacter"
"Thalassospira",302,1.84,"Taxa","Rhodospirillaceae","Thalassospira"
"Rickettsiales_u_g",303,3.98,"Taxa","Rickettsiales_u_f","Rickettsiales_u_g"
"Rikenellaceae_u_g",304,0,"Taxa","Rikenellaceae","Rikenellaceae_u_g"
"Anaerotruncus",305,2.49,"Taxa","Ruminococcaceae","Anaerotruncus"
"Ethanoligenens",306,0,"Taxa","Ruminococcaceae","Ethanoligenens"
"Megamonas",307,15.69,"Taxa","Selenomonadaceae","Megamonas"
"Selenomonadaceae_u_g",308,0,"Taxa","Selenomonadaceae","Selenomonadaceae_u_g"
"Shewanella",309,0,"Taxa","Shewanellaceae","Shewanella"
"Sphaerobacteraceae_u_g",310,2.66,"Taxa","Sphaerobacteraceae","Sphaerobacteraceae_u_g"
"Sphingobacteriaceae_u_g",311,0,"Taxa","Sphingobacteriaceae","Sphingobacteriaceae_u_g"
"Treponema",312,147.28,"Taxa","Spirochaetaceae","Treponema"
"Sporolactobacillus",313,1.74,"Taxa","Sporolactobacillaceae","Sporolactobacillus"
"Pelosinus",314,113.56,"Taxa","Sporomusaceae","Pelosinus"
"Staphylococcus",315,10.02,"Taxa","Staphylococcaceae","Staphylococcus"
"Succinatimonas",316,0,"Taxa","Succinivibrionaceae","Succinatimonas"
"Succinivibrio",317,78.82,"Taxa","Succinivibrionaceae","Succinivibrio"
"Laceyella",318,6.38,"Taxa","Thermoactinomycetaceae","Laceyella"
"Thermoactinomyces",319,5149.77,"Taxa","Thermoactinomycetaceae","Thermoactinomyces"
"Thermoanaerobacterales_u_g",320,37.61,"Taxa","Thermoanaerobacterales_u_f","Thermoanaerobacterales_u_g"
"Megasphaera",321,35.02,"Taxa","Veillonellaceae","Megasphaera"
"Veillonellaceae_u_g",322,0,"Taxa","Veillonellaceae","Veillonellaceae_u_g"
"Pseudoxanthomonas",323,3.94,"Taxa","Xanthomonadaceae","Pseudoxanthomonas"
"Xylella",324,0,"Taxa","Xanthomonadaceae","Xylella"
"Yersinia",325,0,"Taxa","Yersiniaceae","Yersinia"
