Id,Label,timeset,abundance,type,class,gene,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,pageranks,clustering,triangles,eigencentrality
15,blaAmpC,,695.69,ARG,Beta-lactam,blaAmpC,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
16,blaAmpH,,0,ARG,Beta-lactam,blaAmpH,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
17,blaCMY 111,,0,ARG,Beta-lactam,blaCMY 111,0,0,0,0,0,0,0,0,6,7,0.000704,0,0,0
18,blaCMY 27,,0,ARG,Beta-lactam,blaCMY 27,0,0,0,0,0,0,0,0,7,8,0.000704,0,0,0
19,blaCMY 32,,0,ARG,Beta-lactam,blaCMY 32,0,0,0,0,0,0,0,0,8,9,0.000704,0,0,0
20,baeR,,2725.46,ARG,MDR,baeR,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
21,evgA,,0,ARG,MDR,evgA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
22,H NS,,0,ARG,MDR,H NS,105,98.968336,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
23,acrF,,0,ARG,MDR,acrF,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
24,pmrA,,0,ARG,Polymyxin,pmrA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
25,pmrB,,472.92,ARG,Polymyxin,pmrB,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
26,pmrC,,0,ARG,Polymyxin,pmrC,106,98.194935,5,0.492537,0.694444,290.788514,0.097142,0.097142,38,2,0.005507,0.975562,5429,0.994475
27,pmrE,,0,ARG,Polymyxin,pmrE,0,0,0,0,0,0,0,0,9,10,0.000704,0,0,0
28,pmrF,,0,ARG,Polymyxin,pmrF,106,100.254737,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
29,ermC,,0,ARG,Macrolide,ermC,0,0,0,0,0,0,0,0,10,11,0.000704,0,0,0
30,tolC,,809.96,ARG,MDR,tolC,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
31,acrD,,0,ARG,MDR,acrD,105,91.791765,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
32,marA,,1081.73,ARG,MDR,marA,106,83.561242,6,0.47482,0.688552,550.389354,0.096351,0.096351,38,2,0.006276,0.959569,5340,0.986459
33,mdtA,,679.37,ARG,MDR,mdtA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
34,mdtB,,0,ARG,MDR,mdtB,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
35,mdtC,,0,ARG,MDR,mdtC,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
36,mdtD,,0,ARG,MDR,mdtD,104,83.824441,6,0.458333,0.676515,2.290037,0.096124,0.096124,38,2,0.005202,0.992345,5315,0.983943
37,mdtE,,1712.73,ARG,MDR,mdtE,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
38,mdtG,,2777.85,ARG,MDR,mdtG,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
39,mdtN,,0,ARG,MDR,mdtN,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
40,mdtO,,0,ARG,MDR,mdtO,107,97.015566,5,0.498741,0.699916,378.491374,0.097194,0.097194,38,2,0.005716,0.958208,5434,0.995118
41,mdtP,,1063.23,ARG,MDR,mdtP,105,98.841203,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
42,mdtH,,0,ARG,MDR,mdtH,106,99.589803,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
43,mdtL,,449.9,ARG,MDR,mdtL,103,83.42649,6,0.468085,0.678451,4.534076,0.095457,0.095457,38,2,0.005154,0.997716,5241,0.977067
44,mdtM,,0,ARG,MDR,mdtM,107,97.605697,5,0.498741,0.699916,378.491374,0.097194,0.097194,38,2,0.005716,0.958208,5434,0.995118
45,gadX,,0,ARG,MDR,gadX,104,92.369354,6,0.458333,0.676515,1.256982,0.096264,0.096264,38,2,0.005188,0.995332,5331,0.985334
46,mdfA,,0,ARG,MDR,mdfA,104,85.809665,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
47,emrE,,0,ARG,MDR,emrE,7,5.564711,8,0.23432,0.269402,70.739804,0,0,24,2,0.00473,0.809524,17,0.000951
48,emrY,,0,ARG,MDR,emrY,6,4.214166,7,0.213592,0.245683,7.995635,0,0,87,2,0.00391,0.866667,13,0.000846
49,mdtK,,0,ARG,MDR,mdtK,104,90.142921,6,0.458333,0.676515,1.256982,0.096264,0.096264,38,2,0.005188,0.995332,5331,0.985334
50,acrE,,0,ARG,MDR,acrE,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
51,emrA,,423.6,ARG,MDR,emrA,106,95.093557,5,0.502538,0.700505,725.989185,0.095656,0.095656,38,2,0.005899,0.945373,5261,0.979497
52,emrK,,986.91,ARG,Tetracycline,emrK,104,88.751444,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
53,arnA,,0,ARG,Polymyxin,arnA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
54,cpxR,,0,ARG,MDR,cpxR,105,93.980518,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
55,crp,,1812.16,ARG,MDR,crp,105,84.435826,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
56,acrS,,0,ARG,MDR,acrS,106,93.713543,5,0.502538,0.700505,725.989185,0.095656,0.095656,38,2,0.005899,0.945373,5261,0.979497
57,phoP,,0,ARG,MDR,phoP,105,97.183879,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
58,baeS,,848.77,ARG,MDR,baeS,105,97.800814,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
59,cpxA,,507.14,ARG,MDR,cpxA,105,95.459959,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
60,evgS,,0,ARG,MDR,evgS,105,97.682788,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
61,phoQ,,0,ARG,MDR,phoQ,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
62,tetBP,,3681.22,ARG,Tetracycline,tetBP,8,4.510807,7,0.316294,0.35392,736.652211,0.000036,0.000036,87,2,0.004444,0.285714,8,0.001528
63,tetL,,0,ARG,Tetracycline,tetL,0,0,0,0,0,0,0,0,11,12,0.000704,0,0,0
64,tetQ,,265409.87,ARG,Tetracycline,tetQ,5,3.013457,7,0.249057,0.279509,159.919479,0,0,87,2,0.004164,0.2,2,0.000625
65,emrB,,0,ARG,MDR,emrB,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
66,mdtF,,959.47,ARG,MDR,mdtF,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
67,88 Branch,,0,Virulence,Unknown,88 Branch,0,0,0,0,0,0,0,0,12,13,0.000704,0,0,0
68,int,,2148.81,MGE,Plasmid,int,4,3.225509,7,0.219027,0.245142,4.428373,0,0,24,2,0.003378,0.833333,5,0.000512
69,rteC,,3822.24,Virulence,Two-component system response regulator,rteC,6,3.903313,7,0.301829,0.336159,309.551988,0.000018,0.000018,87,2,0.003791,0.4,6,0.000974
70,traE,,0,MGE,Plasmid,traE,0,0,0,0,0,0,0,0,13,14,0.000704,0,0,0
71,traF,,934.06,MGE,Plasmid,traF,7,4.680047,7,0.224745,0.259319,197.805613,0,0,24,2,0.005788,0.428571,9,0.000872
72,transposon 46242809,,1293.23,MGE,Transposon,transposon 46242809,6,4.05294,7,0.214286,0.2443,104.649537,0,0,24,2,0.005498,0.533333,8,0.000748
73,transposon 46242811,,0,MGE,Transposon,transposon 46242811,4,2.733222,7,0.225,0.254858,276.010714,0,0,24,2,0.003267,0.5,3,0.000518
74,cfxA 33413459,,178079.42,ARG,Beta-lactam,cfxA 33413459,5,2.881954,7,0.248432,0.275409,207.130404,0.000001,0.000001,87,2,0.004771,0.3,3,0.00059
75,colA,,0,Virulence,Collagenase,colA,0,0,0,0,0,0,0,0,14,15,0.000704,0,0,0
76,pfoA,,0,Virulence,Citolysis,pfoA,0,0,0,0,0,0,0,0,15,16,0.000704,0,0,0
77,repB,,1947.78,MGE,Plasmid,repB,0,0,0,0,0,0,0,0,16,17,0.000704,0,0,0
78,tetL-Ef,,1888.25,ARG,Tetracycline,tetL-Ef,0,0,0,0,0,0,0,0,17,18,0.000704,0,0,0
79,aadE,,0,ARG,Aminoglycoside,aadE,0,0,0,0,0,0,0,0,18,19,0.000704,0,0,0
80,Transposon 807609,,551.01,MGE,Transposon,Transposon 807609,0,0,0,0,0,0,0,0,19,20,0.000704,0,0,0
81,astA,,0,Virulence,N-succinyltransferase,astA,105,97.331567,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
82,blc,,0,ARG,Beta-lactam,blc,0,0,0,0,0,0,0,0,20,21,0.000704,0,0,0
83,cmy-13,,0,ARG,Beta-lactam,cmy-13,0,0,0,0,0,0,0,0,21,22,0.000704,0,0,0
84,lacY,,0,Virulence,Beta-galactosides,lacY,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
85,lpfA,,0,Virulence,Fimbrial major protein,lpfA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
86,ompA,,1049.12,Virulence,Peptidoglycan,ompA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
87,sugE,,767.5,ARG,MDR,sugE,0,0,0,0,0,0,0,0,22,23,0.000704,0,0,0
88,traA,,1437.47,MGE,Plasmid,traA,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
89,yddA,,0,Virulence,Inner membrane ABC transporter,yddA,103,90.057079,6,0.457275,0.67399,0.613161,0.095516,0.095516,38,2,0.005145,0.998858,5247,0.977673
90,blc 3334641,,0,ARG,Beta-lactam,blc 3334641,0,0,0,0,0,0,0,0,23,24,0.000704,0,0,0
91,Plasmid 38606113,,484.02,MGE,Plasmid,Plasmid 38606113,106,99.935902,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
92,exc1,,1259.45,MGE,Plasmid,exc1,5,4.125907,7,0.313788,0.387157,235.735959,0.00085,0.00085,24,2,0.002582,0.9,9,0.009233
93,Rom,,263.15,MGE,Plasmid,Rom,0,0,0,0,0,0,0,0,25,25,0.000704,0,0,0
94,Plasmid 4775492,,0,MGE,Plasmid,Plasmid 4775492,0,0,0,0,0,0,0,0,26,26,0.000704,0,0,0
95,tnp,,0,MGE,Transposon,tnp,98,57.525032,6,0.422175,0.647306,1792.370615,0.086475,0.086475,24,2,0.006912,0.901536,4285,0.885609
96,MobA 32395281,,35732.27,MGE,Insertional sequence,MobA 32395281,4,2.425308,6,0.257812,0.284343,100.695583,0.000001,0.000001,87,2,0.003318,0.333333,2,0.000523
97,cfxA 32395282,,94468.2,ARG,Beta-lactam,cfxA 32395282,6,3.702246,7,0.24812,0.278944,40.200571,0.000001,0.000001,87,2,0.005012,0.4,6,0.000727
98,tetA,,0,ARG,Tetracycline,tetA,0,0,0,0,0,0,0,0,27,27,0.000704,0,0,0
99,fyuA,,0,Virulence,Biofilm,fyuA,0,0,0,0,0,0,0,0,28,28,0.000704,0,0,0
100,ybtP,,0,Virulence,Siderophore,ybtP,0,0,0,0,0,0,0,0,29,29,0.000704,0,0,0
101,Cronobacter phage vB_CsaP_GAP52,,0,Phage,Podoviridae,Cronobacter phage vB_CsaP_GAP52,0,0,0,0,0,0,0,0,30,30,0.000704,0,0,0
102,Karamvirus_u_s,,0,Phage,Myoviridae,Karamvirus_u_s,0,0,0,0,0,0,0,0,31,31,0.000704,0,0,0
103,Escherichia virus CC31,,0,Phage,Myoviridae,Escherichia virus CC31,0,0,0,0,0,0,0,0,32,32,0.000704,0,0,0
104,Enterobacteria phage BP-4795,,66.54,Phage,Siphoviridae,Enterobacteria phage BP-4795,104,84.584405,6,0.458333,0.676515,2.290037,0.096124,0.096124,38,2,0.005202,0.992345,5315,0.983943
105,Escherichia virus HK106,,0,Phage,Siphoviridae,Escherichia virus HK106,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
106,Enterobacteria phage HK140,,10.01,Phage,Siphoviridae,Enterobacteria phage HK140,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
107,Escherichia virus HK544,,3.96,Phage,Siphoviridae,Escherichia virus HK544,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
108,Escherichia virus HK629,,0,Phage,Siphoviridae,Escherichia virus HK629,0,0,0,0,0,0,0,0,33,33,0.000704,0,0,0
109,Escherichia virus HK633,,0,Phage,Siphoviridae,Escherichia virus HK633,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
110,Enterobacteria phage IME10,,0,Phage,Podoviridae,Enterobacteria phage IME10,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
111,Escherichia virus If1,,0,Phage,Inoviridae,Escherichia virus If1,0,0,0,0,0,0,0,0,34,34,0.000704,0,0,0
112,Enterobacteria phage P4,,104.29,Phage,Caudovirales_u_f,Enterobacteria phage P4,104,94.489375,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
113,Enterobacteria phage Sf101,,2.69,Phage,Podoviridae,Enterobacteria phage Sf101,106,100.574366,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
114,Enterobacteria phage SfI,,11.04,Phage,Myoviridae,Enterobacteria phage SfI,106,100.480456,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
115,Enterobacteria phage SfV,,8.63,Phage,Myoviridae,Enterobacteria phage SfV,106,100.550049,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
116,Enterobacteria phage VT2phi_272,,0,Phage,Podoviridae,Enterobacteria phage VT2phi_272,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
117,Enterobacteria phage YYZ-2008,,39.76,Phage,Siphoviridae,Enterobacteria phage YYZ-2008,106,99.466029,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
118,Enterobacteria phage cdtI,,66.5,Phage,Siphoviridae,Enterobacteria phage cdtI,106,100.636246,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
119,Escherichia virus fiAA91ss,,154.04,Phage,Myoviridae,Escherichia virus fiAA91ss,104,95.147063,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
120,Enterobacteria phage mEp043 c-1,,0,Phage,Siphoviridae,Enterobacteria phage mEp043 c-1,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
121,Enterobacteria phage mEp235,,0,Phage,Siphoviridae,Enterobacteria phage mEp235,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
122,Enterobacteria phage mEp237,,0,Phage,Siphoviridae,Enterobacteria phage mEp237,104,85.448507,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
123,Enterobacteria phage mEp460,,32.16,Phage,Siphoviridae,Enterobacteria phage mEp460,106,94.28937,5,0.497487,0.697391,371.980357,0.096447,0.096447,38,2,0.005673,0.961366,5350,0.987456
124,Escherichia virus mEpX1,,0,Phage,Siphoviridae,Escherichia virus mEpX1,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
125,Escherichia virus mEpX2,,0,Phage,Siphoviridae,Escherichia virus mEpX2,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
126,Enterobacteria phage vB_EcoP_ACG-C91,,0,Phage,Autographiviridae,Enterobacteria phage vB_EcoP_ACG-C91,0,0,0,0,0,0,0,0,35,35,0.000704,0,0,0
127,Enterobacterial phage mEp213,,0,Phage,Siphoviridae,Enterobacterial phage mEp213,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
128,Vequintavirus_u_s,,0,Phage,Myoviridae,Vequintavirus_u_s,0,0,0,0,0,0,0,0,36,36,0.000704,0,0,0
129,Escherichia virus Cajan,,0,Phage,Siphoviridae,Escherichia virus Cajan,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
130,Escherichia phage D108,,0,Phage,Myoviridae,Escherichia phage D108,11,8.149335,6,0.409091,0.458249,498.618046,0.000933,0.000933,87,2,0.004848,0.672727,37,0.01111
131,Escherichia virus FFH2,,0,Phage,Myoviridae,Escherichia virus FFH2,0,0,0,0,0,0,0,0,37,37,0.000704,0,0,0
132,Escherichia virus Min27,,0,Phage,Podoviridae,Escherichia virus Min27,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
133,Escherichia virus Seurat,,0,Phage,Siphoviridae,Escherichia virus Seurat,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
134,Escherichia phage TL-2011b,,58.25,Phage,Podoviridae,Escherichia phage TL-2011b,104,96.662537,6,0.471429,0.68266,5.622849,0.096334,0.096334,38,2,0.005205,0.996826,5339,0.986068
135,Escherichia virus phiV10,,0,Phage,Podoviridae,Escherichia virus phiV10,106,71.858236,6,0.491315,0.693771,2939.54892,0.09379,0.09379,87,2,0.006937,0.909254,5060,0.960717
136,Escherichia virus pro147,,4.73,Phage,Myoviridae,Escherichia virus pro147,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
137,Escherichia virus pro483,,21.03,Phage,Myoviridae,Escherichia virus pro483,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
138,Escherichia phage slur01,,0,Phage,Siphoviridae,Escherichia phage slur01,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
139,Escherichia virus 24B,,0,Phage,Podoviridae,Escherichia virus 24B,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
140,Escherichia virus 186,,0,Phage,Myoviridae,Escherichia virus 186,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
141,Escherichia virus HK022,,0,Phage,Siphoviridae,Escherichia virus HK022,106,100.560577,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
142,Escherichia virus HK97,,0,Phage,Siphoviridae,Escherichia virus HK97,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
143,Escherichia virus K1-5,,0,Phage,Autographiviridae,Escherichia virus K1-5,0,0,0,0,0,0,0,0,39,38,0.000704,0,0,0
144,Escherichia virus K1E,,0,Phage,Autographiviridae,Escherichia virus K1E,0,0,0,0,0,0,0,0,40,39,0.000704,0,0,0
145,Escherichia virus P2,,147.46,Phage,Myoviridae,Escherichia virus P2,106,100.513502,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
146,Escherichia virus Wphi,,24.95,Phage,Myoviridae,Escherichia virus Wphi,105,97.947321,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
147,Lactobacillus phage LfeSau,,0,Phage,Siphoviridae,Lactobacillus phage LfeSau,0,0,0,0,0,0,0,0,41,40,0.000704,0,0,0
148,Lactobacillus phage Lrm1,,0,Phage,Siphoviridae,Lactobacillus phage Lrm1,0,0,0,0,0,0,0,0,42,41,0.000704,0,0,0
149,Lactobacillus phage iA2,,23.63,Phage,Siphoviridae,Lactobacillus phage iA2,0,0,0,0,0,0,0,0,43,42,0.000704,0,0,0
150,Lactobacillus phage phiAT3,,65.86,Phage,Siphoviridae,Lactobacillus phage phiAT3,5,3.70617,7,0.211313,0.236388,26.28238,0,0,24,2,0.004822,0.7,7,0.000615
151,Lactococcus phage Tuc2009,,0,Phage,Siphoviridae,Lactococcus phage Tuc2009,0,0,0,0,0,0,0,0,44,43,0.000704,0,0,0
152,Mycobacterium phage Enkosi,,0,Phage,Siphoviridae,Mycobacterium phage Enkosi,0,0,0,0,0,0,0,0,45,44,0.000704,0,0,0
153,Seunavirus_u_s,,0,Phage,Myoviridae,Seunavirus_u_s,0,0,0,0,0,0,0,0,46,45,0.000704,0,0,0
154,Salmonella phage BP12B,,0,Phage,Autographiviridae,Salmonella phage BP12B,0,0,0,0,0,0,0,0,47,46,0.000704,0,0,0
155,Salmonella virus FSLSP004,,2.06,Phage,Myoviridae,Salmonella virus FSLSP004,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
156,Salmonella virus SP31,,4.13,Phage,Siphoviridae,Salmonella virus SP31,0,0,0,0,0,0,0,0,48,47,0.000704,0,0,0
157,Salmonella phage RE-2010,,41.1,Phage,Myoviridae,Salmonella phage RE-2010,105,99.008676,6,0.472554,0.685185,6.433633,0.097081,0.097081,38,2,0.005248,0.993223,5423,0.99373
158,Salmonella phage SEN1,,0,Phage,Myoviridae,Salmonella phage SEN1,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
159,Salmonella virus SJ46,,38.68,Phage,Myoviridae,Salmonella virus SJ46,16,10.965248,5,0.410788,0.472306,1183.348223,0.002798,0.002798,87,2,0.005409,0.475,57,0.030758
160,Salmonella virus SPN3US,,0,Phage,Myoviridae,Salmonella virus SPN3US,7,5.075555,7,0.320388,0.396934,113.25,0.001569,0.001569,49,2,0.002678,0.714286,15,0.016717
161,Salmonella phage g341c,,0,Phage,Podoviridae,Salmonella phage g341c,0,0,0,0,0,0,0,0,50,48,0.000704,0,0,0
162,Salmonella phage vB_SemP_Emek,,8.32,Phage,Podoviridae,Salmonella phage vB_SemP_Emek,104,68.963234,5,0.479419,0.684091,1476.732969,0.092794,0.092794,38,2,0.006176,0.92401,4949,0.950399
163,Salmonella virus HK620,,27.07,Phage,Podoviridae,Salmonella virus HK620,106,100.568516,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
164,Salmonella virus PsP3,,0,Phage,Myoviridae,Salmonella virus PsP3,106,100.562342,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
165,Shigella phage SfII,,0,Phage,Myoviridae,Shigella phage SfII,106,100.475095,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
166,Shigella phage SfIV,,3.07,Phage,Myoviridae,Shigella phage SfIV,106,100.573101,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
167,Shigella virus SfMu,,2.28,Phage,Myoviridae,Shigella virus SfMu,6,3.91788,7,0.367347,0.427068,573.420799,0.000906,0.000906,87,2,0.003196,0.333333,5,0.009962
168,Shigella virus Sf6,,8.1,Phage,Podoviridae,Shigella virus Sf6,106,100.565487,6,0.473684,0.68771,8.862987,0.097689,0.097689,38,2,0.005306,0.986703,5491,1
169,Streptococcus phage 20617,,0,Phage,Siphoviridae,Streptococcus phage 20617,0,0,0,0,0,0,0,0,51,49,0.000704,0,0,0
170,Stx2-converting phage 1717,,119.74,Phage,Siphoviridae,Stx2-converting phage 1717,102,76.013889,6,0.439024,0.664899,2.908721,0.09456,0.09456,38,2,0.0051,0.997864,5140,0.967877
